rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
65	rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict	none	rle-dict	delta-binary-packed	rle-dict	plain	712398624	825621935	544939078	544939078	1.515072		1.000000	15288	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-rle-dict
66	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-rle-dict	none	rle-dict	delta-binary-packed	rle-dict	rle-dict	712398624	825621935	195111272	195111272	4.231544		1.000000	15367	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-rle-dict
67	rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict	none	rle-dict	delta-binary-packed	rle-dict	delta-byte-array	712398624	825621935	238281219	238281219	3.464906		1.000000	15468	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict
68	rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict	none	rle-dict	delta-binary-packed	rle-dict	delta-length-byte-array	712398624	825621935	440596402	440596402	1.873874		1.000000	15003	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-rle-dict
69	rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-delta-binary-packed	none	rle-dict	delta-binary-packed	delta-binary-packed	plain	712398624	825621935	533160226	533160226	1.548544		1.000000	15001	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-plain-date-delta-binary-packed-ts-delta-binary-packed
70	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed	none	rle-dict	delta-binary-packed	delta-binary-packed	rle-dict	712398624	825621935	183276950	183276950	4.504778		1.000000	14949	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed
71	rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed	none	rle-dict	delta-binary-packed	delta-binary-packed	delta-byte-array	712398624	825621935	226443082	226443082	3.646046		1.000000	15112	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed
72	rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed	none	rle-dict	delta-binary-packed	delta-binary-packed	delta-length-byte-array	712398624	825621935	428781600	428781600	1.925507		1.000000	14775	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed
73	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-plain	none	delta-binary-packed	plain	plain	plain	712398624	825621935	593658617	593658617	1.390735		1.000000	10453	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-plain
74	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-plain	none	delta-binary-packed	plain	plain	rle-dict	712398624	825621935	243708235	243708235	3.387747		1.000000	10414	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-plain
75	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-plain	none	delta-binary-packed	plain	plain	delta-byte-array	712398624	825621935	286659626	286659626	2.880147		1.000000	10804	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-plain
76	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-plain	none	delta-binary-packed	plain	plain	delta-length-byte-array	712398624	825621935	489352506	489352506	1.687172		1.000000	10568	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-plain
77	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-rle-dict	none	delta-binary-packed	plain	rle-dict	plain	712398624	825621935	591639093	591639093	1.395482		1.000000	10770	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-rle-dict
78	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-rle-dict	none	delta-binary-packed	plain	rle-dict	rle-dict	712398624	825621935	241772255	241772255	3.414875		1.000000	10826	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-rle-dict
79	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-rle-dict	none	delta-binary-packed	plain	rle-dict	delta-byte-array	712398624	825621935	284697718	284697718	2.899995		1.000000	11110	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-rle-dict
80	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-rle-dict	none	delta-binary-packed	plain	rle-dict	delta-length-byte-array	712398624	825621935	487338566	487338566	1.694144		1.000000	10622	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-rle-dict
81	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-delta-binary-packed	none	delta-binary-packed	plain	delta-binary-packed	plain	712398624	825621935	579940139	579940139	1.423633		1.000000	10489	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-plain-ts-delta-binary-packed
82	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-delta-binary-packed	none	delta-binary-packed	plain	delta-binary-packed	rle-dict	712398624	825621935	229922282	229922282	3.590874		1.000000	10315	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-plain-ts-delta-binary-packed
83	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-delta-binary-packed	none	delta-binary-packed	plain	delta-binary-packed	delta-byte-array	712398624	825621935	272901762	272901762	3.025345		1.000000	10821	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-plain-ts-delta-binary-packed
84	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-delta-binary-packed	none	delta-binary-packed	plain	delta-binary-packed	delta-length-byte-array	712398624	825621935	475615306	475615306	1.735903		1.000000	10616	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-plain-ts-delta-binary-packed
85	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-plain	none	delta-binary-packed	rle-dict	plain	plain	712398624	825621935	589590722	589590722	1.400331		1.000000	10563	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-plain
86	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-plain	none	delta-binary-packed	rle-dict	plain	rle-dict	712398624	825621935	239834676	239834676	3.442463		1.000000	10526	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-plain
87	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-plain	none	delta-binary-packed	rle-dict	plain	delta-byte-array	712398624	825621935	282651810	282651810	2.920986		1.000000	10700	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-plain
88	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-plain	none	delta-binary-packed	rle-dict	plain	delta-length-byte-array	712398624	825621935	485280345	485280345	1.701330		1.000000	10518	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-plain
89	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-rle-dict	none	delta-binary-packed	rle-dict	rle-dict	plain	712398624	825621935	587686506	587686506	1.404868		1.000000	11118	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-rle-dict
90	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict	none	delta-binary-packed	rle-dict	rle-dict	rle-dict	712398624	825621935	237728394	237728394	3.472963		1.000000	11130	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-rle-dict
91	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-rle-dict	none	delta-binary-packed	rle-dict	rle-dict	delta-byte-array	712398624	825621935	280693632	280693632	2.941363		1.000000	11359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-rle-dict
92	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-rle-dict	none	delta-binary-packed	rle-dict	rle-dict	delta-length-byte-array	712398624	825621935	483308037	483308037	1.708273		1.000000	10932	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-rle-dict
93	rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-delta-binary-packed	none	delta-binary-packed	rle-dict	delta-binary-packed	plain	712398624	825621935	575904352	575904352	1.433609		1.000000	10505	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-plain-date-rle-dict-ts-delta-binary-packed
94	rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-delta-binary-packed	none	delta-binary-packed	rle-dict	delta-binary-packed	rle-dict	712398624	825621935	225970702	225970702	3.653668		1.000000	10584	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-rle-dict-date-rle-dict-ts-delta-binary-packed
95	rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed	none	delta-binary-packed	rle-dict	delta-binary-packed	delta-byte-array	712398624	825621935	269015024	269015024	3.069055		1.000000	10870	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed
96	rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed	none	delta-binary-packed	rle-dict	delta-binary-packed	delta-length-byte-array	712398624	825621935	471582627	471582627	1.750747		1.000000	10522	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/parquet/rows-1000000-comp-none-int-delta-binary-packed-str-delta-length-byte-array-date-rle-dict-ts-delta-binary-packed
